志賀高原 中央部,長野県下高井郡山ノ内町志賀高原,0269-34-2301,gelande420,36.717635,138.4920422,し,志賀高原 OR 丸池スキー OR ジャイアントスキー OR 高天ヶ原スキー OR 蓮池スキー
志賀高原 熊の湯スキー場,長野県下高井郡山ノ内町大字平穏7148,0269-34-2166,gelande421,36.717635,138.4920422,し,熊の湯スキー OR 横手山スキー OR 渋峠
Ｘ－ＪＡＭ 高井富士,長野県下高井郡山ノ内町北志賀高原12713-94,0269-33-6252,gelande422,36.7993365,138.4036918,え,Xジャム OR 高井富士
志賀高原 焼額山スキー場,長野県下高井郡山ノ内町志賀高原焼額山,0269-34-3111,gelande423,36.7527485,138.5257386,し,焼額山 OR ヤケビ
奥志賀高原スキー場,長野県下高井郡山ノ内町奥志賀高原,0269-34-2225,gelande424,36.7799532,138.5277941,お,奥志賀高原
竜王スキーパーク,長野県下高井郡山ノ内町竜王高原,0269-33-7131,gelande425,36.7836609,138.4655015,り,竜王スキー OR from:ryuooski
北志賀よませ温泉スキー場,長野県下高井郡山ノ内町夜間瀬7078,0269-33-0100,gelande426,36.7816211,138.4160143,き,よませ温泉スキー
北志賀高原小丸山スキー場,長野県下高井郡山ノ内町夜間瀬 北志賀高原,0269-33-6621,gelande427,36.793218,138.4517607,き,小丸山スキー
